sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,new_target_count,cumulative_coverage,score,transfer_delta_v,transfer_max_speed,transfer_min_clearance,transfer_tracking_error,transfer_feasible
0,cand_0011,-8.0,-28.0,0.0,6,0.08571428571428572,46.21377493911264,0.16193054171199597,0.1198394615311517,18.66628763806394,11.063657725240569,True
1,cand_0040,10.0,0.0,36.0,6,0.17142857142857143,40.21524808957984,0.48761383814041853,0.3700678229859664,13.671056294188311,38.047621170696615,True
2,cand_0005,-8.0,28.0,0.0,5,0.24285714285714285,31.77068481895363,0.5570393419659382,0.3807473919278705,6.2622940856279445,39.32802032349618,True
3,cand_0046,0.0,8.000000000000002,21.0,2,0.2714285714285714,14.078932624911877,0.3740746033428556,0.2820994085209219,6.587155688353718,8.578330875057672,True
4,cand_0006,24.0,20.0,0.0,2,0.3,11.104397602837377,0.36996370057759426,0.2530034636404121,6.467870710867702,24.77837498003717,True
5,cand_0050,0.0,7.999999999999996,-21.0,4,0.35714285714285715,26.746559426278566,0.3893553204573127,0.2596507034718066,1.4976940919789428,25.22775163028373,True
6,cand_0034,58.0,0.0,12.0,2,0.38571428571428573,5.604957583230471,0.6541515001270564,0.4410615696719875,1.661478445473521,49.433697082577076,True
7,cand_0027,-40.0,18.5,12.0,1,0.4,-7.123194588587532,0.9240206818808447,0.5540424750324842,0.23399899948175928,70.37576612412921,True
8,cand_0054,0.0,-7.999999999999999,21.0,1,0.4142857142857143,3.5352674568613316,0.6093778625221261,0.5434616565696561,4.6422298852905515,18.94362412351769,True
9,cand_0038,10.0,-18.5,12.0,1,0.42857142857142855,4.798907549417444,0.23075761909921225,0.1868076869581321,5.498397083967235,16.4939887575806,True
10,cand_0065,-28.0,3.429011037612589e-15,-6.0,1,0.44285714285714284,0.5143809990234729,0.4676130799802907,0.32429640298791385,0.25562147384910405,33.25196420507972,True
11,cand_0008,-40.0,-20.0,0.0,1,0.45714285714285713,3.2250664589281586,0.3472061257971492,0.27852071954656643,0.884247798780752,24.402606447387715,True
12,cand_0033,-40.0,0.0,-12.0,1,0.4714285714285714,4.534387413084669,0.28028060163333635,0.18159314707112448,3.834830966642633,16.525256918243294,True
